Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,01. GQL - Criar Usuário,48,1,18000.0,27501.137425003737,2597.485000034794,86488.4708999889,72.45833333333333,0.26477203377861314,0.00551608403705444,19000,32000,43000,47000,58000,69000,86000,86000,86000,86000,86000
POST,02. GQL - Login,58,2,15000.0,14230.890043101932,2709.9448000080884,19263.940099976026,109.96551724137932,0.31993287414915755,0.01103216807410888,15000,16000,16000,17000,18000,18000,18000,19000,19000,19000,19000
POST,03. GQL - Criar Música,51,0,15000.0,14881.06484313646,9815.197599993553,18219.99670000514,39.0,0.2813202858897765,0.0,15000,16000,17000,17000,18000,18000,18000,18000,18000,18000,18000
POST,04. GQL - Listar Músicas,50,3,15000.0,14120.761797996238,1459.1425000107847,18339.038099977188,2181.16,0.27580420185272203,0.01654825211116332,15000,16000,16000,17000,17000,18000,18000,18000,18000,18000,18000
POST,05. GQL - Criar Playlist,39,1,15000.0,15095.914289738852,2004.5260000042617,29373.31280001672,38.97435897435897,0.21512727744512317,0.00551608403705444,15000,16000,17000,17000,18000,18000,29000,29000,29000,29000,29000
POST,06. GQL - Add Música Playlist,38,0,13000.0,14016.370578941669,11515.619500016328,18136.716400040314,91.0,0.20961119340806875,0.0,14000,15000,15000,16000,16000,17000,18000,18000,18000,18000,18000
POST,07. GQL - Ver Playlist Específica,37,2,13000.0,13055.900281079656,1880.9591999743134,18251.04529998498,116.13513513513513,0.2040951093710143,0.01103216807410888,13000,14000,15000,15000,16000,18000,18000,18000,18000,18000,18000
POST,08. GQL - Playlists do Usuário,35,0,13000.0,14115.719797142914,11637.902800051961,21002.50950001646,77.77142857142857,0.1930629412969054,0.0,13000,15000,16000,16000,17000,20000,21000,21000,21000,21000,21000
POST,09. GQL - Playlists com a Música,43,4,14000.0,12936.914555811009,901.4768999768421,20483.358900004532,62.30232558139535,0.23719161359334093,0.02206433614821776,14000,15000,16000,16000,17000,17000,20000,20000,20000,20000,20000
POST,10. GQL - Listar Todos Usuários,35,0,15000.0,15296.424657147976,12190.217700030189,23062.784200010356,4199.628571428571,0.1930629412969054,0.0,15000,16000,16000,17000,17000,23000,23000,23000,23000,23000,23000
,Aggregated,434,13,15000.0,15669.497804837469,901.4768999768421,86488.4708999889,651.073732718894,2.393980472081627,0.07170909248170773,15000,16000,16000,17000,18000,25000,47000,58000,86000,86000,86000
