Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,01. POST - Registrar,521,500,300.0,346.26020422346545,20.3835999709554,1184.5628999872133,61.034548944337814,3.012775325059639,2.8913390835505175,300,350,400,430,500,630,890,1100,1200,1200,1200
POST,02. POST - Login,512,505,290.0,329.19599902334085,30.426899960730225,951.0090000112541,39.490234375,2.96073122155573,2.920252474386023,290,350,390,410,460,560,730,800,950,950,950
POST,03. POST - Criar Música,508,0,330.0,359.7100433052699,226.7007000045851,927.5570999598131,63.868110236220474,2.937600508887326,0.0,330,390,420,440,530,610,670,710,930,930,930
GET,04. GET - Listar Músicas,502,0,360.0,378.9931466127885,229.43589999340475,848.9358000224456,16788.464143426296,2.9029044398847197,0.0,360,410,440,460,530,600,650,750,850,850,850
POST,05. POST - Criar Playlist,20,0,300.0,317.9203950043302,233.92379999859259,522.5539000239223,58.8,0.1156535633420207,0.0,320,340,370,380,440,520,520,520,520,520,520
POST,06. POST - Add Música Playlist,20,0,290.0,353.3742549974704,230.21549999248236,628.8802999770269,60.0,0.1156535633420207,0.0,320,370,500,510,570,630,630,630,630,630,630
GET,07. GET - Ver Playlist Específica,20,0,400.0,428.37785499868914,231.5519999829121,691.6691999649629,122.8,0.1156535633420207,0.0,470,490,520,630,650,690,690,690,690,690,690
GET,08. GET - Playlists do Usuário,20,20,6,9.24131000356283,4.373000003397465,37.39730000961572,22.0,0.1156535633420207,0.1156535633420207,7,8,9,11,18,37,37,37,37,37,37
GET,09. GET - Playlists com a Música,486,0,330.0,343.6489707836785,225.85059999255463,810.848499997519,5.823045267489712,2.810381589211103,0.0,330,370,410,420,480,540,620,630,810,810,810
GET,10. GET - Listar Todos Usuários,481,481,6,7.941236173595629,3.2534999772906303,54.62239996995777,22.0,2.781468198375598,2.781468198375598,6,7,8,9,13,16,25,35,55,55,55
,Aggregated,3090,1506,290.0,296.09986737848584,3.2534999772906303,1184.5628999872133,2760.8271844660194,17.8684755363422,8.708713319654159,290,350,400,420,480,560,670,770,1100,1200,1200
