Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,01. SOAP - Registrar,303,262,590.0,743.6014745870864,228.85529999621212,2475.0072000315413,339.08910891089107,2.6363587451989456,2.2796237334723553,590,770,900,1000,1300,1800,1900,2000,2500,2500,2500
POST,02. SOAP - Login,299,262,600.0,722.907743143793,238.46389999380335,2830.8640000177547,331.4180602006689,2.6015553294207416,2.2796237334723553,600,700,800,870,1200,1800,2400,2500,2800,2800,2800
POST,03. SOAP - Criar Música,299,0,630.0,693.4413973245548,233.57809998560697,2275.6862999522127,418.876254180602,2.6015553294207416,0.0,630,750,820,880,1100,1300,1800,1800,2300,2300,2300
POST,04. SOAP - Listar Músicas,298,1,660.0,718.7131104046235,254.73450002027676,1939.0054999967106,18280.06711409396,2.5928544754761904,0.008700853944550975,660,770,840,910,1100,1300,1700,1800,1900,1900,1900
POST,05. SOAP - Criar Playlist,40,0,630.0,645.5622350040358,343.4168000239879,1054.5632999856025,468.9,0.348034157782039,0.0,640,730,760,790,850,1100,1100,1100,1100,1100,1100
POST,06. SOAP - Add Música Playlist,40,0,530.0,557.6750199965318,254.2241999763064,1002.792099956423,460.0,0.348034157782039,0.0,540,630,740,850,910,990,1000,1000,1000,1000,1000
POST,07. SOAP - Ver Playlist Específica,40,0,440.0,490.64932499750284,228.93260000273585,1548.9232999971136,525.85,0.348034157782039,0.0,440,480,560,700,790,1100,1500,1500,1500,1500,1500
POST,08. SOAP - Playlists do Usuário,39,1,450.0,442.7258589704975,250.42229995597154,922.2560999915004,647.0512820512821,0.33933330383748805,0.008700853944550975,450,470,500,550,660,810,920,920,920,920,920
POST,09. SOAP - Playlists da Música,267,3,440.0,493.66635805033394,236.29800003254786,1426.136799971573,343.0299625468165,2.3231280031951105,0.026102561833652924,440,540,590,660,750,900,1100,1300,1400,1400,1400
POST,10. SOAP - Listar Todos Usuários,261,7,530.0,568.8367693493645,239.85640000319108,1236.4064999856055,5002.325670498084,2.2709228795278045,0.06090597761185682,530,650,700,720,860,970,1100,1200,1200,1200,1200
,Aggregated,1886,536,570.0,651.2583418875379,228.85529999621212,2830.8640000177547,3846.852067868505,16.409810539423137,4.6636577142793225,570,690,760,820,1100,1300,1800,1900,2800,2800,2800
